NroReg,FECHA,CENTRO,Estrato,OFERTA_ID,FACTURA,GRUPO_CATEG,PLU_SAP,CANTIDAD,VENTA,DESCUENTO,GRUCOM,VENTA_NETA,OFERTA_ID_NUM,PROMO_FLAG,PRECIO_UNITARIO_NETO
1398,2026-01-01,1,4,0,140,1,139,0.988,4900,0.0,1,4900.0,0,0,4959.514170040486
1431,2026-01-01,1,4,0,65,1,141,0.314,13950,0.0,1,13950.0,0,0,44426.75159235669
1433,2026-01-01,1,4,0,142,1,143,0.795,27990,0.0,1,27990.0,0,0,35207.54716981132
1443,2026-01-01,1,4,0,144,1,5,7.095,47900,0.0,1,47900.0,0,0,6751.23326286117
1490,2026-01-01,1,4,0,145,1,146,0.183,4490,0.0,1,4490.0,0,0,24535.519125683062
1501,2026-01-01,1,4,0,147,1,148,0.258,4380,0.0,1,4380.0,0,0,16976.74418604651
1523,2026-01-01,1,4,0,46,1,149,1.746,7780,0.0,1,7780.0,0,0,4455.89919816724
1553,2026-01-01,1,4,0,150,1,151,0.514,34550,0.0,1,34550.0,0,0,67217.89883268482
1556,2026-01-01,1,4,0,8,1,51,1.677,29990,0.0,1,29990.0,0,0,17883.124627310674
1558,2026-01-01,1,4,0,152,1,153,1.146,28490,0.0,1,28490.0,0,0,24860.38394415358
1622,2026-01-01,1,4,0,154,1,155,1.799,7990,0.0,1,7990.0,0,0,4441.356309060589
1632,2026-01-01,1,4,0,156,1,78,0.485,5200,0.0,1,5200.0,0,0,10721.649484536083
1666,2026-01-01,1,4,0,77,1,157,0.485,5200,0.0,1,5200.0,0,0,10721.649484536083
1697,2026-01-01,1,4,0,158,1,27,0.406,29990,0.0,1,29990.0,0,0,73866.99507389162
1721,2026-01-01,1,4,0,159,1,160,1.307,16390,0.0,1,16390.0,0,0,12540.16832440704
1722,2026-01-01,1,4,0,161,1,162,0.432,25500,0.0,1,25500.0,0,0,59027.77777777778
1731,2026-01-01,1,4,0,2,1,163,0.227,13650,0.0,1,13650.0,0,0,60132.15859030837
1763,2026-01-01,1,4,0,164,1,49,0.54,9990,0.0,1,9990.0,0,0,18500.0
1766,2026-01-01,1,4,0,136,1,165,0.167,16120,0.0,1,16120.0,0,0,96526.94610778443
1770,2026-01-01,1,4,0,134,1,166,0.863,29700,0.0,1,29700.0,0,0,34414.831981460025
1777,2026-01-01,1,4,0,167,1,168,0.277,21490,0.0,1,21490.0,0,0,77581.2274368231
1785,2026-01-01,1,4,0,113,1,169,0.162,3450,0.0,1,3450.0,0,0,21296.296296296296
1812,2026-01-01,1,4,0,96,1,170,0.894,24520,0.0,1,24520.0,0,0,27427.293064876958
1838,2026-01-01,1,4,0,63,1,171,0.125,10600,0.0,1,10600.0,0,0,84800.0
1851,2026-01-01,1,4,0,79,1,172,0.496,12050,0.0,1,12050.0,0,0,24294.354838709678
1873,2026-01-01,1,4,0,161,1,173,1.058,15500,0.0,1,15500.0,0,0,14650.283553875235
1875,2026-01-01,1,4,0,30,1,174,0.42,12300,0.0,1,12300.0,0,0,29285.714285714286
1892,2026-01-01,1,4,0,4,1,175,0.45,37600,0.0,1,37600.0,0,0,83555.55555555555
1962,2026-01-01,1,4,0,176,1,139,0.988,4900,0.0,1,4900.0,0,0,4959.514170040486
1963,2026-01-01,1,4,0,8,1,177,0.418,5890,0.0,1,5890.0,0,0,14090.909090909092
1964,2026-01-01,1,4,0,178,1,179,0.365,22990,0.0,1,22990.0,0,0,62986.30136986302
1968,2026-01-01,1,4,0,180,1,181,0.455,25250,0.0,1,25250.0,0,0,55494.505494505494
1985,2026-01-01,1,4,0,182,1,174,0.42,12300,0.0,1,12300.0,0,0,29285.714285714286
2013,2026-01-01,1,4,0,16,1,183,0.275,13710,0.0,1,13710.0,0,0,49854.54545454545
2029,2026-01-01,1,4,0,2,1,184,0.513,10950,0.0,1,10950.0,0,0,21345.02923976608
2040,2026-01-01,1,4,0,185,1,186,0.148,4300,0.0,1,4300.0,0,0,29054.054054054057
2057,2026-01-01,1,4,0,187,1,188,2.956,19250,0.0,1,19250.0,0,0,6512.178619756428
2067,2026-01-01,1,4,260055,105,1,189,0.991,14990,5190.0,1,9800.0,260055,1,9889.001009081736
2075,2026-01-01,1,4,0,129,1,190,0.389,29900,0.0,1,29900.0,0,0,76863.7532133676
2082,2026-01-01,1,4,0,38,1,191,0.441,31450,0.0,1,31450.0,0,0,71315.19274376417
2087,2026-01-01,1,4,251106,72,1,192,0.624,22005,2445.0,1,19560.0,251106,1,31346.153846153848
