NroReg,FECHA,CENTRO,Estrato,OFERTA_ID,FACTURA,GRUPO_CATEG,PLU_SAP,CANTIDAD,VENTA,DESCUENTO,GRUCOM
2314,46023,1,4,0,204,1,205,"0,298",8600,"0,00",1
2327,46023,1,4,0,206,1,139,"0,988",4900,"0,00",1
2359,46023,1,4,0,96,1,207,"0,154",21990,"0,00",1
2389,46023,1,4,259690,208,1,209,"0,203",25160,"6290,00",1
2429,46023,1,4,0,185,1,210,"0,208",4150,"0,00",1
2440,46023,1,4,0,110,1,211,"1,21",22000,"0,00",1
2467,46023,1,4,0,212,1,64,"0,156",12890,"0,00",1
2471,46023,1,4,0,193,1,213,"0,48",16700,"0,00",1
2487,46023,1,4,0,214,1,102,"0,149",6200,"0,00",1
2494,46023,1,4,0,178,1,215,"1,275",11750,"0,00",1
2526,46023,1,4,0,216,1,217,"0,664",11990,"0,00",1
2537,46023,1,4,0,218,1,219,"2,952",9570,"0,00",1
2548,46023,1,4,0,220,1,139,"0,988",4900,"0,00",1
2565,46023,1,4,0,34,1,221,"0,857",18360,"0,00",1
2578,46023,1,4,0,222,1,139,"0,988",4900,"0,00",1
2615,46023,1,4,0,223,1,224,"1,279",26250,"0,00",1
2653,46023,1,4,0,225,1,13,"0,321",1200,"0,00",1
2745,46023,1,4,0,226,1,227,"0,218",9300,"0,00",1
2769,46023,1,4,0,228,1,90,"0,468",10990,"0,00",1
2770,46023,1,4,0,144,1,139,"0,988",4900,"0,00",1
2798,46023,1,4,0,67,1,51,"1,677",29990,"0,00",1
2799,46023,1,4,0,65,1,229,"0,426",11500,"0,00",1
2828,46023,1,4,0,77,1,230,"0,266",13400,"0,00",1
2850,46023,1,4,0,61,1,231,"0,195",10600,"0,00",1
2863,46023,1,4,0,96,1,232,"0,902",24520,"0,00",1
2865,46023,1,4,0,233,1,148,"0,129",2190,"0,00",1
2896,46023,1,4,0,96,1,234,"0,271",46190,"0,00",1
2926,46023,1,4,0,24,1,49,"0,54",9990,"0,00",1
2931,46023,1,4,251106,235,1,124,"0,788",7425,"825,00",1
2951,46023,1,4,0,96,1,236,"0,504",8190,"0,00",1
2962,46023,1,4,0,193,1,236,"0,504",8190,"0,00",1
2975,46023,1,4,0,38,1,237,"0,456",31450,"0,00",1
2983,46023,1,4,0,238,1,219,"0,984",3190,"0,00",1
2988,46023,1,4,0,239,1,240,"0,56",9650,"0,00",1
3025,46023,1,4,0,203,1,241,"0,478",11600,"0,00",1
3051,46023,1,4,0,61,1,242,"0,843",21950,"0,00",1
3053,46023,1,4,0,243,1,85,"0,454",4990,"0,00",1
3067,46023,1,4,0,6,1,244,"0,535",8880,"0,00",1
3090,46023,1,4,0,245,1,246,"0,959",19950,"0,00",1
3094,46023,1,4,0,247,1,248,"8,32",25990,"0,00",1
3131,46023,1,4,0,249,1,250,"0,713",27490,"0,00",1
3157,46023,1,4,0,251,1,252,"0,568",16990,"0,00",1
3193,46023,1,4,0,96,1,253,"0,684",15300,"0,00",1
3198,46023,1,4,0,158,1,254,"0,361",27700,"0,00",1
3213,46023,1,4,0,182,1,126,"1,166",8390,"0,00",1
3232,46023,1,4,241825,105,1,181,"0,455",22725,"2525,00",1
3234,46023,1,4,0,158,1,255,"0,608",19480,"0,00",1
3323,46023,1,4,0,256,1,118,"2,428",10100,"0,00",1
3361,46023,1,4,0,212,1,183,"0,275",13710,"0,00",1
3362,46023,1,4,0,257,1,258,"1,15",17800,"0,00",1
3368,46023,1,4,0,259,1,260,"0,528",11850,"0,00",1
3386,46023,1,4,0,261,1,262,"0,231",23570,"0,00",1
3442,46023,1,4,0,263,1,264,"0,938",23980,"0,00",1
3448,46023,1,4,0,265,1,266,"0,277",29400,"0,00",1
3464,46023,1,4,0,67,1,267,"0,451",2900,"0,00",1
3498,46023,1,4,0,268,1,39,"0,212",8300,"0,00",1
3524,46023,1,4,0,269,1,49,"0,54",9990,"0,00",1
3550,46023,1,4,0,159,1,270,"3,919",49990,"0,00",1
3564,46023,1,4,0,67,1,271,"0,485",5200,"0,00",1
3601,46023,1,4,0,117,1,272,"0,518",2490,"0,00",1
3604,46023,1,4,0,273,1,13,"0,321",1200,"0,00",1
3609,46023,1,4,0,274,1,241,"0,478",11600,"0,00",1
3617,46023,1,4,0,6,1,275,"0,321",13950,"0,00",1
3619,46023,1,4,0,69,1,276,"1,067",22990,"0,00",1
3687,46023,1,4,0,176,1,277,"0,72",33450,"0,00",1
3691,46023,1,4,0,74,1,62,"0,421",25500,"0,00",1
3693,46023,1,4,0,278,1,118,"2,428",10100,"0,00",1
3702,46023,1,4,0,279,1,280,"0,158",3500,"0,00",1
3712,46023,1,4,0,110,1,281,"0,64",25450,"0,00",1
3725,46023,1,4,251106,235,1,282,"0,976",12231,"1359,00",1
3728,46023,1,4,0,283,1,284,"0,746",4490,"0,00",1
3739,46023,1,4,0,82,1,139,"0,988",4900,"0,00",1
3742,46023,1,4,0,72,1,49,"0,54",9990,"0,00",1
3802,46023,1,4,0,164,1,285,"0,488",19200,"0,00",1
3821,46023,1,4,0,286,1,287,"0,328",13990,"0,00",1
3828,46023,1,4,251106,235,1,288,"0,997",20565,"2285,00",1
3863,46023,1,4,0,289,1,49,"0,54",9990,"0,00",1
3877,46023,1,4,251106,72,1,290,"0,646",22770,"2530,00",1
3884,46023,1,4,0,203,1,133,"0,676",14900,"0,00",1
3922,46023,1,4,0,77,1,23,"0,519",15650,"0,00",1
3931,46023,1,4,251106,291,1,292,"0,128",22635,"2515,00",1
3932,46023,1,4,0,74,1,293,"0,304",14990,"0,00",1
3935,46023,1,4,0,110,1,294,"0,732",15600,"0,00",1
3959,46023,1,4,251106,72,1,295,"0,775",22500,"2500,00",1
3982,46023,1,4,0,119,1,296,"1,073",26650,"0,00",1
4013,46023,1,4,0,297,1,90,"0,468",10990,"0,00",1
4049,46023,1,4,0,38,1,298,"1,414",33980,"0,00",1
4120,46023,1,4,0,46,1,299,"0,736",27990,"0,00",1
4128,46023,1,4,0,67,1,272,"0,518",2490,"0,00",1
4145,46023,1,4,251106,235,1,300,"1,063",23985,"2665,00",1
4155,46023,1,4,241825,105,1,133,"0,676",13410,"1490,00",1
4161,46023,1,4,0,127,1,139,"0,988",4900,"0,00",1
4217,46023,1,4,0,96,1,157,"0,485",5200,"0,00",1
4220,46023,1,4,0,301,1,302,"0,176",39950,"0,00",1
4241,46023,1,4,0,212,1,303,"0,459",8690,"0,00",1
4257,46023,1,4,0,65,1,304,"0,828",32990,"0,00",1
4259,46023,1,4,0,305,1,306,"0,564",17250,"0,00",1
4305,46023,1,4,0,193,1,177,"0,418",5890,"0,00",1
4320,46023,1,4,0,96,1,307,"0,705",22580,"0,00",1
4326,46023,1,4,0,10,1,168,"0,277",21490,"0,00",1
4329,46023,1,4,0,2,1,308,"1,594",77790,"0,00",1
4350,46023,1,4,241825,105,1,230,"0,266",12060,"1340,00",1
4355,46023,1,4,0,113,1,89,"0,283",9990,"0,00",1
4366,46023,1,4,0,67,1,83,"0,304",5600,"0,00",1
4384,46023,1,4,0,86,1,309,"0,293",16900,"0,00",1
4392,46023,1,4,251106,72,1,310,"0,692",22770,"2530,00",1
4408,46023,1,4,0,2,1,108,"0,588",22040,"0,00",1
4423,46023,1,4,0,311,1,90,"0,468",10990,"0,00",1
4433,46023,1,4,0,312,1,299,"0,736",27990,"0,00",1
4470,46023,1,4,0,222,1,13,"0,321",1200,"0,00",1
4502,46023,1,4,0,63,1,313,"0,592",36190,"0,00",1
4516,46023,1,4,0,20,1,314,"0,611",13890,"0,00",1
4523,46023,1,4,0,212,1,315,"0,432",19200,"0,00",1
4524,46023,1,4,0,93,1,7,"0,984",30450,"0,00",1
4532,46023,1,4,0,316,1,317,"4,53",17990,"0,00",1
4538,46023,1,4,0,212,1,318,"0,185",13900,"0,00",1
4541,46023,1,4,0,251,1,102,"0,298",12400,"0,00",1
4543,46023,1,4,0,178,1,319,"0,344",32400,"0,00",1
4552,46023,1,4,0,16,1,124,"0,788",8250,"0,00",1
4618,46023,1,4,0,289,1,320,"0,195",11990,"0,00",1
4634,46023,1,4,0,261,1,321,"0,74",20900,"0,00",1
4654,46023,1,4,0,167,1,322,"0,296",17990,"0,00",1
4661,46023,1,4,260055,286,1,189,"0,991",14990,"5190,00",1
4675,46023,1,4,0,91,1,323,"1,161",38500,"0,00",1
4726,46023,1,4,0,222,1,324,"0,232",10990,"0,00",1
4736,46023,1,4,0,325,1,326,"0,595",3800,"0,00",1
4752,46023,1,4,0,93,1,241,"0,478",11600,"0,00",1
4760,46023,1,4,0,67,1,186,"0,148",4300,"0,00",1
4770,46023,1,4,0,239,1,184,"0,513",10950,"0,00",1
4793,46023,1,4,0,28,1,80,"0,164",2190,"0,00",1
4819,46023,1,4,0,327,1,43,"0,088",1800,"0,00",1
4821,46023,1,4,0,328,1,329,"2,119",16590,"0,00",1
4831,46023,1,4,0,330,1,244,"0,535",8880,"0,00",1
4836,46023,1,4,0,24,1,331,"0,457",39900,"0,00",1
4847,46023,1,4,0,332,1,326,"0,595",3800,"0,00",1
4857,46023,1,4,0,333,1,148,"0,129",2190,"0,00",1
4886,46023,1,4,0,334,1,335,"2,979",32090,"0,00",1
4908,46023,1,4,0,334,1,275,"0,321",13950,"0,00",1
4920,46023,1,4,0,10,1,254,"0,361",27700,"0,00",1
4928,46023,1,4,0,84,1,336,"0,398",8990,"0,00",1
4977,46023,1,4,0,337,1,315,"0,432",19200,"0,00",1
4989,46023,1,4,0,91,1,338,"0,22",9000,"0,00",1
4998,46023,1,4,0,339,1,340,"4,828",26700,"0,00",1
5063,46023,1,4,0,341,1,149,"0,873",3890,"0,00",1
5069,46023,1,4,0,342,1,139,"0,988",4900,"0,00",1
5078,46023,1,4,241825,343,1,344,"4,323",15471,"1719,00",1
5105,46023,1,4,0,345,1,346,"0,73",6500,"0,00",1
5155,46023,1,4,0,334,1,244,"0,535",8880,"0,00",1
5156,46023,1,4,0,347,1,163,"0,227",13650,"0,00",1
5164,46023,1,4,0,311,1,49,"0,54",9990,"0,00",1
5178,46023,1,4,0,14,1,348,"0,432",21600,"0,00",1
5179,46023,1,4,241825,105,1,349,"2,361",7821,"869,00",1
5193,46023,1,4,0,350,1,336,"0,398",8990,"0,00",1
5195,46023,1,4,0,61,1,351,"0,707",16990,"0,00",1
5214,46023,1,4,0,352,1,353,"0,192",12760,"0,00",1
5240,46023,1,4,0,343,1,139,"0,988",4900,"0,00",1
5243,46023,1,4,0,144,1,95,"2,839",21500,"0,00",1
5261,46023,1,4,0,354,1,355,"0,692",15990,"0,00",1
5262,46023,1,4,0,65,1,227,"0,218",9300,"0,00",1
5266,46023,1,4,0,356,1,139,"0,988",4900,"0,00",1
5271,46023,1,4,0,119,1,357,"0,93",21800,"0,00",1
5273,46023,1,4,0,358,1,359,"0,317",10890,"0,00",1
5288,46023,1,4,0,91,1,210,"0,208",4150,"0,00",1
5289,46023,1,4,0,32,1,360,"0,804",24700,"0,00",1
5291,46023,1,4,0,361,1,362,"1,15",38950,"0,00",1
5295,46023,1,4,0,363,1,364,"0,175",27950,"0,00",1
5330,46023,1,4,0,8,1,365,"0,369",14950,"0,00",1
5341,46023,1,4,0,257,1,366,"0,517",5890,"0,00",1
5375,46023,1,4,0,235,1,90,"1,404",32970,"0,00",1
5410,46023,1,4,259690,367,1,368,"0,298",44600,"11150,00",1
5435,46023,1,4,0,369,1,370,"1,242",12700,"0,00",1
5437,46023,1,4,0,371,1,372,"0,18",15990,"0,00",1
5446,46023,1,4,0,50,1,17,"0,633",11850,"0,00",1
5451,46023,1,4,0,328,1,359,"0,317",10890,"0,00",1
5510,46023,1,4,0,373,1,5,"7,095",47900,"0,00",1
5512,46023,1,4,0,374,1,241,"0,478",11600,"0,00",1
5524,46023,1,4,0,4,1,375,"8,643",56900,"0,00",1
5552,46023,1,4,0,46,1,376,"0,312",21990,"0,00",1
5580,46023,1,4,0,377,1,244,"0,535",8880,"0,00",1
5584,46023,1,4,0,378,1,379,"9,906",45980,"0,00",1
5597,46023,1,4,0,182,1,13,"0,321",1200,"0,00",1
5602,46023,1,4,0,2,1,139,"0,988",4900,"0,00",1
5604,46023,1,4,0,380,1,51,"1,677",29990,"0,00",1
5615,46023,1,4,0,356,1,381,"0,633",15900,"0,00",1
5634,46023,1,4,0,382,1,304,"0,828",32990,"0,00",1
5648,46023,1,4,0,334,1,124,"0,788",8250,"0,00",1
5656,46023,1,4,0,286,1,90,"0,468",10990,"0,00",1
5657,46023,1,4,260055,178,1,383,"0,844",25990,"9000,00",1
5658,46023,1,4,0,384,1,287,"0,328",13990,"0,00",1
5680,46023,1,4,0,203,1,139,"1,976",9800,"0,00",1
5696,46023,1,4,0,158,1,303,"0,459",8690,"0,00",1
5704,46023,1,4,0,367,1,385,"0,182",15600,"0,00",1
5710,46023,1,4,0,67,1,386,"0,364",8090,"0,00",1
5714,46023,1,4,0,387,1,329,"2,119",16590,"0,00",1
5728,46023,1,4,0,388,1,309,"0,293",16900,"0,00",1
5757,46023,1,4,0,389,1,83,"0,304",5600,"0,00",1
5796,46023,1,4,0,390,1,11,"0,402",12150,"0,00",1
5813,46023,1,4,0,101,1,207,"0,154",21990,"0,00",1
5824,46023,1,4,0,38,1,391,"0,456",4350,"0,00",1
5867,46023,1,4,0,72,1,392,"0,962",34650,"0,00",1
5880,46023,1,4,0,77,1,205,"0,298",8600,"0,00",1
5912,46023,1,4,0,393,1,139,"0,988",4900,"0,00",1
5922,46023,1,4,0,394,1,395,"0,665",6200,"0,00",1
5953,46023,1,4,0,152,1,396,"1,065",42990,"0,00",1
5960,46023,1,4,0,93,1,149,"0,873",3890,"0,00",1
5964,46023,1,4,0,325,1,397,"0,858",12300,"0,00",1
5978,46023,1,4,0,150,1,398,"0,392",18990,"0,00",1
5984,46023,1,4,0,399,1,400,"1,134",36350,"0,00",1
5986,46023,1,4,0,401,1,402,"0,457",19200,"0,00",1
5991,46023,1,4,0,286,1,403,"0,41",18100,"0,00",1
6018,46023,1,4,0,193,1,404,"0,378",28700,"0,00",1
6019,46023,1,4,0,6,1,104,"1,628",25990,"0,00",1
6032,46023,1,4,251106,291,1,198,"0,152",4005,"445,00",1
6038,46023,1,4,0,369,1,37,"1,614",9750,"0,00",1
6049,46023,1,4,0,187,1,221,"0,857",18360,"0,00",1
